threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
76,1.0,0.005448550119585061,0.010838048588238607,1.0,0.0,0.9945514498804149,0.5027242750597926
77,1.0,0.005448550119585061,0.010838048588238607,1.0,0.0,0.9945514498804149,0.5027242750597926
78,1.0,0.005448550119585061,0.010838048588238607,1.0,0.0,0.9945514498804149,0.5027242750597926
79,1.0,0.005448550119585061,0.010838048588238607,1.0,0.0,0.9945514498804149,0.5027242750597926
80,1.0,0.005448550119585061,0.010838048588238607,1.0,0.0,0.9945514498804149,0.5027242750597926
81,1.0,0.005236268946094734,0.010417986512930974,1.0,0.0,0.9947637310539053,0.5026181344730474
82,1.0,0.005236268946094734,0.010417986512930974,1.0,0.0,0.9947637310539053,0.5026181344730474
83,1.0,0.005236268946094734,0.010417986512930974,1.0,0.0,0.9947637310539053,0.5026181344730474
84,1.0,0.005236268946094734,0.010417986512930974,1.0,0.0,0.9947637310539053,0.5026181344730474
85,1.0,0.005236268946094734,0.010417986512930974,1.0,0.0,0.9947637310539053,0.5026181344730474
86,1.0,0.004033342296316214,0.008034279592929836,1.0,0.0,0.9959666577036838,0.5020166711481581
87,1.0,0.004033342296316214,0.008034279592929836,1.0,0.0,0.9959666577036838,0.5020166711481581
88,1.0,0.004033342296316214,0.008034279592929836,1.0,0.0,0.9959666577036838,0.5020166711481581
89,1.0,0.004033342296316214,0.008034279592929836,1.0,0.0,0.9959666577036838,0.5020166711481581
90,1.0,0.004033342296316214,0.008034279592929836,1.0,0.0,0.9959666577036838,0.5020166711481581
91,1.0,0.003962581905152772,0.00789388364979349,1.0,0.0,0.9960374180948472,0.5019812909525764
92,1.0,0.003962581905152772,0.00789388364979349,1.0,0.0,0.9960374180948472,0.5019812909525764
93,1.0,0.003962581905152772,0.00789388364979349,1.0,0.0,0.9960374180948472,0.5019812909525764
94,1.0,0.003962581905152772,0.00789388364979349,1.0,0.0,0.9960374180948472,0.5019812909525764
95,1.0,0.003962581905152772,0.00789388364979349,1.0,0.0,0.9960374180948472,0.5019812909525764
