threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
16,0.8428650749583565,0.34372567611553756,0.48831388160077205,0.9520313575930929,0.047968642406907146,0.6562743238844624,0.6478785168543152
17,0.8428650749583565,0.34372567611553756,0.48831388160077205,0.9520313575930929,0.047968642406907146,0.6562743238844624,0.6478785168543152
18,0.8428650749583565,0.34372567611553756,0.48831388160077205,0.9520313575930929,0.047968642406907146,0.6562743238844624,0.6478785168543152
19,0.8428650749583565,0.34372567611553756,0.48831388160077205,0.9520313575930929,0.047968642406907146,0.6562743238844624,0.6478785168543152
20,0.8428650749583565,0.34372567611553756,0.48831388160077205,0.9520313575930929,0.047968642406907146,0.6562743238844624,0.6478785168543152
21,0.842580885087393,0.3206436365180227,0.46451599676066874,0.955156523120928,0.04484347687907198,0.6793563634819774,0.6379000798194754
22,0.842580885087393,0.3206436365180227,0.46451599676066874,0.955156523120928,0.04484347687907198,0.6793563634819774,0.6379000798194754
23,0.842580885087393,0.3206436365180227,0.46451599676066874,0.955156523120928,0.04484347687907198,0.6793563634819774,0.6379000798194754
24,0.842580885087393,0.3206436365180227,0.46451599676066874,0.955156523120928,0.04484347687907198,0.6793563634819774,0.6379000798194754
25,0.842580885087393,0.3206436365180227,0.46451599676066874,0.955156523120928,0.04484347687907198,0.6793563634819774,0.6379000798194754
26,0.7410813053097345,0.15169612657618772,0.25184140969163,0.9603262884686689,0.03967371153133111,0.8483038734238123,0.5560112075224283
27,0.7410813053097345,0.15169612657618772,0.25184140969163,0.9603262884686689,0.03967371153133111,0.8483038734238123,0.5560112075224283
28,0.7410813053097345,0.15169612657618772,0.25184140969163,0.9603262884686689,0.03967371153133111,0.8483038734238123,0.5560112075224283
29,0.7410813053097345,0.15169612657618772,0.25184140969163,0.9603262884686689,0.03967371153133111,0.8483038734238123,0.5560112075224283
30,0.7410813053097345,0.15169612657618772,0.25184140969163,0.9603262884686689,0.03967371153133111,0.8483038734238123,0.5560112075224283
31,0.7289523257498913,0.1423840590990787,0.23823449321004464,0.96036866359447,0.03963133640552995,0.8576159409009213,0.5513763613467744
32,0.7289523257498913,0.1423840590990787,0.23823449321004464,0.96036866359447,0.03963133640552995,0.8576159409009213,0.5513763613467744
33,0.7289523257498913,0.1423840590990787,0.23823449321004464,0.96036866359447,0.03963133640552995,0.8576159409009213,0.5513763613467744
34,0.7289523257498913,0.1423840590990787,0.23823449321004464,0.96036866359447,0.03963133640552995,0.8576159409009213,0.5513763613467744
35,0.7289523257498913,0.1423840590990787,0.23823449321004464,0.96036866359447,0.03963133640552995,0.8576159409009213,0.5513763613467744
36,0.6970644432864339,0.11358457989555766,0.19533921508974747,0.9630488903013931,0.03695110969860692,0.8864154201044423,0.5383167350984753
37,0.6970644432864339,0.11358457989555766,0.19533921508974747,0.9630488903013931,0.03695110969860692,0.8864154201044423,0.5383167350984753
38,0.6970644432864339,0.11358457989555766,0.19533921508974747,0.9630488903013931,0.03695110969860692,0.8864154201044423,0.5383167350984753
39,0.6970644432864339,0.11358457989555766,0.19533921508974747,0.9630488903013931,0.03695110969860692,0.8864154201044423,0.5383167350984753
40,0.6970644432864339,0.11358457989555766,0.19533921508974747,0.9630488903013931,0.03695110969860692,0.8864154201044423,0.5383167350984753
41,0.926232741617357,0.06645815938070505,0.12401790548124281,0.996037925737592,0.003962074262407966,0.9335418406192949,0.5312480425591485
42,0.926232741617357,0.06645815938070505,0.12401790548124281,0.996037925737592,0.003962074262407966,0.9335418406192949,0.5312480425591485
43,0.926232741617357,0.06645815938070505,0.12401790548124281,0.996037925737592,0.003962074262407966,0.9335418406192949,0.5312480425591485
44,0.926232741617357,0.06645815938070505,0.12401790548124281,0.996037925737592,0.003962074262407966,0.9335418406192949,0.5312480425591485
45,0.926232741617357,0.06645815938070505,0.12401790548124281,0.996037925737592,0.003962074262407966,0.9335418406192949,0.5312480425591485
46,0.9190538194444444,0.05993405131543567,0.11252972671352084,0.9960485195190423,0.003951480480957678,0.9400659486845643,0.5279912854172389
47,0.9190538194444444,0.05993405131543567,0.11252972671352084,0.9960485195190423,0.003951480480957678,0.9400659486845643,0.5279912854172389
48,0.9190538194444444,0.05993405131543567,0.11252972671352084,0.9960485195190423,0.003951480480957678,0.9400659486845643,0.5279912854172389
49,0.9190538194444444,0.05993405131543567,0.11252972671352084,0.9960485195190423,0.003951480480957678,0.9400659486845643,0.5279912854172389
50,0.9190538194444444,0.05993405131543567,0.11252972671352084,0.9960485195190423,0.003951480480957678,0.9400659486845643,0.5279912854172389
51,0.9814138732160638,0.041847695334059805,0.08027255205364171,0.9994067482387838,0.0005932517612161661,0.9581523046659401,0.5206272217864218
52,0.9814138732160638,0.041847695334059805,0.08027255205364171,0.9994067482387838,0.0005932517612161661,0.9581523046659401,0.5206272217864218
53,0.9814138732160638,0.041847695334059805,0.08027255205364171,0.9994067482387838,0.0005932517612161661,0.9581523046659401,0.5206272217864218
54,0.9814138732160638,0.041847695334059805,0.08027255205364171,0.9994067482387838,0.0005932517612161661,0.9581523046659401,0.5206272217864218
55,0.9814138732160638,0.041847695334059805,0.08027255205364171,0.9994067482387838,0.0005932517612161661,0.9581523046659401,0.5206272217864218
56,0.9827586206896551,0.0225867168593708,0.044158539115999165,0.9997033741193919,0.00029662588060808305,0.9774132831406293,0.5111450454893813
57,0.9827586206896551,0.0225867168593708,0.044158539115999165,0.9997033741193919,0.00029662588060808305,0.9774132831406293,0.5111450454893813
58,0.9827586206896551,0.0225867168593708,0.044158539115999165,0.9997033741193919,0.00029662588060808305,0.9774132831406293,0.5111450454893813
59,0.9827586206896551,0.0225867168593708,0.044158539115999165,0.9997033741193919,0.00029662588060808305,0.9774132831406293,0.5111450454893813
60,0.9827586206896551,0.0225867168593708,0.044158539115999165,0.9997033741193919,0.00029662588060808305,0.9774132831406293,0.5111450454893813
