threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
30,8954,94125,270,61707,0.6245092574641334,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
31,8266,94130,265,62395,0.6203712679333074,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
32,8266,94130,265,62395,0.6203712679333074,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
33,8266,94130,265,62395,0.6203712679333074,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
34,8266,94130,265,62395,0.6203712679333074,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
35,8266,94130,265,62395,0.6203712679333074,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
36,6172,94389,6,64489,0.6092538290034897,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
37,6172,94389,6,64489,0.6092538290034897,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
38,6172,94389,6,64489,0.6092538290034897,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
39,6172,94389,6,64489,0.6092538290034897,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
40,6172,94389,6,64489,0.6092538290034897,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
